PIcp21,PIcp39,PIcp45,PIcp71,PIcp58,PIcp62,PIcp75,PIcp101,PIcp29,PIcp37,Picp68,PIcp93
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,165/171,173/179,99/99,131/131,173/173,159/159,98/107,126/126,206/215,107/107,115/115
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/186,165/171,173/179,99/108,131/137,176/173,159/159,98/107,126/126,206/215,110/110,115/121
183/183,171/165,173/173,99/99,131/131,176/176,159/159,128/128,126/126,215/215,107/107,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,128/128,126/126,215/215,107/107,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,128/128,126/126,215/215,107/107,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,128/128,126/126,215/215,107/107,121/121
183/183,171/165,173/173,99/99,131/131,176/176,159/159,128/128,126/126,215/215,107/107,121/121
