Population,POP,Label
California,ACP,ACP81-2
California,ACP,ACP81-3
California,ACP,ACP81-4
California,ACP,ACP81-5
California,ACP,ACP81-6
California,CCS1,CCS1-3
California,CCS2,CCS2-2
California,CCS2,CCS2-3
California,CCS2,CCS2-5
California,CE62,CE62-4
California,CE62,CE62-5
California,CE63,CE63-3
California,CE64,CE64-2
California,CE64,CE64-3
California,CE64,CE64-4
California,CE65,CE65-2
California,CE65,CE65-3
California,CE65,CE65-5
UK,CH,Ch2
France,FP,FP1
France,FP,FP2
France,FP,FP3
France,FP,FP4
France,FP,FP5
France,FR,FR1
Turkey,KA,KA1
Turkey,KA,KA3
Turkey,KA,KA5
Turkey,KAC,KAC10
Turkey,KAC,KAC11
Turkey,KAC,KAC12
Turkey,KAC,KAC13
Turkey,KAC,KAC14
Turkey,KAC,KAC15
Turkey,KAC,KAC17
Turkey,KAC,KAC18
Turkey,KAC,KAC19
Turkey,KAC,KAC2
Turkey,KAC,KAC20
Turkey,KAC,KAC21
Turkey,KAC,KAC3
Turkey,KAC,KAC4
Turkey,KAC,KAC5
Turkey,KAC,KAC6
Turkey,KAC,KAC7
Turkey,KAC,KAC8
Turkey,KAC,KAC9
Korea,KO,KO-01
Korea,KO,KO-02
Korea,KO,KO-04
Korea,KO,KO-06
Korea,KO,KO-07
Korea,KO,KO-08
Korea,KO,KO-09
Korea,KO,KO-11
Korea,KO,KO-12
Korea,KO,KO-13
Korea,KO,KO-14
Korea,KO,KO-15
Korea,KO,KO-16
Korea,KO,KO-17
Korea,KO,KO-18
Korea,KO,KO-19
Korea,KO,KO-22
Korea,KO,KO-23
Korea,KO,KO-24
Korea,KO,KO-25
Korea,KO,KO-26
Korea,KO,KO-27
Korea,KO,KO-28
Korea,KO,KO-29
Korea,KO,KO-31
Korea,KO,KO-32
Korea,KO,KO-33
Korea,KO,KO-34
Korea,KO,KO-35
Korea,KO,KO-36
Korea,KO,KO-37
Korea,KO,KO-41
Korea,KO,KO-42
Korea,KO,KO-44
Korea,KO,KO-45
Korea,KO,KO-47
Korea,KO,KO-49
Korea,KO,KO-50
Korea,KO,KO-51
Korea,KO,KO-53
Korea,KO,KO-55
Korea,KO,KO-59
Korea,KO,KO-63
France,MP,MP1a
France,MP,MP1b
France,MP,MP2
Mexico,MX,MX-2
Mexico,MX,MX3
Mexico,MX,MX4
Mexico,MX,MX5
California,R,R1
California,R,R10
California,R,R14
California,R,R3
California,R,R4
California,R,R5
SouthAfrica,SA,SA1-10
SouthAfrica,SA,SA1-11
SouthAfrica,SA,SA1-2
SouthAfrica,SA,SA1-3
SouthAfrica,SA,SA1-4
SouthAfrica,SA,SA1-5
SouthAfrica,SA,SA1-6
SouthAfrica,SA,SA1-9
SouthAfrica,SA,SA2-1
SouthAfrica,SA,SA2-10
SouthAfrica,SA,SA2-11
SouthAfrica,SA,SA2-12
SouthAfrica,SA,SA2-13
SouthAfrica,SA,SA2-14
SouthAfrica,SA,SA2-15
SouthAfrica,SA,SA2-16
SouthAfrica,SA,SA2-17
SouthAfrica,SA,SA2-19
SouthAfrica,SA,SA2-20
SouthAfrica,SA,SA2-21
SouthAfrica,SA,SA2-22
SouthAfrica,SA,SA2-23
SouthAfrica,SA,SA2-24
SouthAfrica,SA,SA2-3
SouthAfrica,SA,SA2-5
SouthAfrica,SA,SA2-6
SouthAfrica,SA,SA2-8
SouthAfrica,SA,SA2-9
California,SF,SF02
California,SF,SF03
California,SF,SF04
California,SF,SF05
California,SF,SF06
California,SF,SF07
California,SF,SF08
California,SF,SF09
California,SF,SF10
California,SF,SF11
California,SF,SF12
California,SF,SF13
California,SF,SF14
California,SF,SF15
California,SF,SF16
California,SF,SF17
California,SF,SF18
California,SF,SF19
California,SF,SF20
California,SF,SF21
California,SF,SF22
California,SF,SF23
California,SF,SF25
California,SF,SF26
California,SF,SF27
California,SF,SF28
California,SF,SF29
California,SF,SF30
California,SF,SF31
California,SF,SF33
California,SF,SF34
California,SF,SF37
California,SF,SF38
California,SF,SF39
California,SF,SF40
Spain,SP,SP11
Spain,SP,SP12
Spain,SP,SP13
Spain,SP,SP15
Spain,SP,SP17
Spain,SP,SP18
Spain,SP,SP19
Spain,SP,SP21
Spain,SP,SP22
Spain,SP,SP23
Spain,SP,SP24
Spain,SP,SP26
Spain,SP,SP28
Spain,SP,SP29
Spain,SP,SP33
Spain,SP,SP36
Spain,SP,SP37
Spain,SP,SP39
Spain,SP,SP40
Spain,SP,SP41
Spain,SP,SP42
Spain,SP,SP43
Spain,SP,SP44
Spain,SP,SP45
Spain,SP,SP46
Spain,SP,SP47
Spain,SP,SP48
Spain,SP,SP49
Spain,SP,SP50
Spain,SP,SP51
Spain,SP,SP52
Spain,SP,SP53
Spain,SP,SP54
Spain,SP,SP57
Spain,SP,SP58
Spain,SP,SP59
Spain,SP,SP60
California,TC,TC1
California,TC,TC3
California,TC,TC4
Turkey,VA,VA1
Turkey,VA,VA2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
