  Index      Label (Miss) :  Q1 Q2 Q3
  1 ACPACP81-2    (0)   :  0.015 0.005 0.980 
  2 ACPACP81-3    (0)   :  0.016 0.005 0.980 
  3 ACPACP81-4    (0)   :  0.015 0.005 0.980 
  4 ACPACP81-5    (0)   :  0.013 0.005 0.982 
  5 ACPACP81-6    (0)   :  0.016 0.005 0.979 
  6 CCS1CCS1-3    (0)   :  0.004 0.992 0.003 
  7 CCS2CCS2-2    (0)   :  0.976 0.009 0.015 
  8 CCS2CCS2-3    (0)   :  0.974 0.010 0.016 
  9 CCS2CCS2-5    (0)   :  0.976 0.010 0.015 
 10 CE62CE62-4    (0)   :  0.976 0.009 0.015 
 11 CE62CE62-5    (0)   :  0.976 0.009 0.015 
 12 CE63CE63-3    (0)   :  0.979 0.008 0.014 
 13 CE64CE64-2    (0)   :  0.975 0.009 0.015 
 14 CE64CE64-3    (0)   :  0.974 0.011 0.015 
 15 CE64CE64-4    (0)   :  0.975 0.009 0.016 
 16 CE65CE65-2    (0)   :  0.973 0.011 0.016 
 17 CE65CE65-3    (0)   :  0.976 0.008 0.015 
 18 CE65CE65-5    (0)   :  0.975 0.010 0.015 
 19    CHCh2    (0)   :  0.009 0.984 0.007 
 20    FPFP1    (0)   :  0.011 0.982 0.007 
 21    FPFP2    (0)   :  0.017 0.974 0.009 
 22    FPFP3    (0)   :  0.019 0.973 0.009 
 23    FPFP4    (0)   :  0.017 0.975 0.008 
 24    FPFP5    (0)   :  0.011 0.982 0.007 
 25    FRFR1    (0)   :  0.003 0.994 0.003 
 26    KAKA1    (0)   :  0.976 0.010 0.014 
 27    KAKA3    (0)   :  0.974 0.009 0.017 
 28    KAKA5    (0)   :  0.974 0.009 0.017 
 29 KACKAC10    (0)   :  0.015 0.005 0.980 
 30 KACKAC11    (0)   :  0.008 0.014 0.978 
 31 KACKAC12    (0)   :  0.008 0.012 0.980 
 32 KACKAC13    (0)   :  0.015 0.005 0.980 
 33 KACKAC14    (0)   :  0.016 0.005 0.979 
 34 KACKAC15    (0)   :  0.016 0.006 0.979 
 35 KACKAC17    (0)   :  0.016 0.005 0.980 
 36 KACKAC18    (0)   :  0.015 0.005 0.980 
 37 KACKAC19    (0)   :  0.014 0.005 0.981 
 38  KACKAC2    (0)   :  0.015 0.005 0.980 
 39 KACKAC20    (0)   :  0.016 0.005 0.979 
 40 KACKAC21    (0)   :  0.016 0.005 0.979 
 41  KACKAC3    (0)   :  0.014 0.005 0.981 
